index,period,org_code,attendances,breaches,admissions,breach_performance,admission_rate,consent
2881,2016-07-01,RXK,1488,2128,3141,-0.4301075268817205,2.1108870967741935,True
2896,2016-07-01,RNA,8947,596,2599,0.9333854923438024,0.29048843187660667,True
4258,2018-03-01,RXK,13805,3556,3429,0.742412169503803,0.24838826512133286,True
4281,2018-03-01,RRK,9936,2154,3896,0.7832125603864735,0.392109500805153,True
5043,2018-01-01,RLQ,4532,1263,1437,0.3170785525154457,0.3170785525154457,True
6471,2017-09-01,RWP,9817,2716,2921,0.29754507487012327,0.29754507487012327,True
7137,2017-07-01,RJC,5811,297,1617,0.27826535880227155,0.27826535880227155,True
7509,2017-06-01,RWP,10313,2824,3174,0.3077668961504897,0.3077668961504897,True
9577,2018-12-01,RXK,13604,4432,3744,0.2752131725962952,0.2752131725962952,True
10327,2018-10-01,RKB,12519,1937,4407,0.35202492211838005,0.35202492211838005,True
12530,2018-04-01,RL4,10709,1704,2544,0.23755719488280885,0.23755719488280885,True
