index,period,org_code,attendances,breaches,admissions
1,2017-03-01,RF4,21289,2879,5060
4,2017-03-01,R1H,30210,5902,6943
9,2017-03-01,RQM,17414,2030,3597
11,2017-03-01,RJ6,6654,1322,2202
15,2017-03-01,RVR,12649,473,3360
17,2017-03-01,RJ1,12385,2092,3181
21,2017-03-01,RQX,10300,635,1684
23,2017-03-01,RYJ,10020,2632,3270
26,2017-03-01,RJZ,17810,4153,4477
29,2017-03-01,RAX,9239,968,1839
31,2017-03-01,RJ2,18137,2993,4967
33,2017-03-01,R1K,12137,4874,4659
37,2017-03-01,RAP,15077,2170,2564
41,2017-03-01,RAL,19072,3267,3872
44,2017-03-01,RJ7,13430,1667,3814
47,2017-03-01,RAS,5838,1889,2126
51,2017-03-01,RKE,8528,990,1347
52,2017-03-01,RRV,12059,1252,2182
57,2017-03-01,RDD,11981,1075,2468
58,2017-03-01,RC1,6402,306,2022
60,2017-03-01,RQ3,5732,173,920
61,2017-03-01,RJF,5360,272,1870
63,2017-03-01,RGT,9567,766,3318
65,2017-03-01,RFS,6889,631,1996
67,2017-03-01,RDE,7562,651,2597
70,2017-03-01,RTG,11780,1773,3745
74,2017-03-01,RWH,9376,2290,3222
77,2017-03-01,RLT,6726,799,1119
80,2017-03-01,RR1,19628,3654,6006
83,2017-03-01,RQQ,3766,405,856
84,2017-03-01,RGQ,7321,560,1998
86,2017-03-01,RGP,6301,318,1242
88,2017-03-01,RNQ,7653,1546,2555
92,2017-03-01,RC9,8814,172,2650
97,2017-03-01,RQ8,8163,1371,2291
99,2017-03-01,RD8,7692,887,1468
102,2017-03-01,RM1,10075,1372,2612
104,2017-03-01,RGN,7832,993,2406
106,2017-03-01,RNS,9027,1336,3303
110,2017-03-01,RX1,15446,3187,4076
117,2017-03-01,RXK,14665,2828,3067
118,2017-03-01,RXK,2087,39,14
119,2017-03-01,RXK,2783,0,0
120,2017-03-01,RK5,8842,599,2765
122,2017-03-01,RXW,10371,2217,2441
123,2017-03-01,RXW,1673,0,0
126,2017-03-01,RJC,5572,198,1806
127,2017-03-01,RJC,663,0,0
128,2017-03-01,RAJ,8595,680,2314
131,2017-03-01,RNA,9006,679,2425
132,2017-03-01,RNA,6393,0,0
133,2017-03-01,RQW,8737,1935,1835
134,2017-03-01,RCX,5320,496,2049
135,2017-03-01,RL4,11505,1651,2606
136,2017-03-01,RL4,8651,104,0
137,2017-03-01,RWD,13111,2737,3502
138,2017-03-01,RRK,10032,1543,2818
139,2017-03-01,RKB,11986,3213,4077
140,2017-03-01,RKB,2081,47,95
141,2017-03-01,RKB,2187,2,1
142,2017-03-01,RWE,12697,3227,3758
145,2017-03-01,RJE,15129,4019,4511
146,2017-03-01,RJE,429,0,0
147,2017-03-01,RJE,4774,91,0
148,2017-03-01,RBK,6360,1986,1936
149,2017-03-01,RBK,3809,1,0
151,2017-03-01,RWG,8042,2644,2701
153,2017-03-01,RGR,5887,419,2063
154,2017-03-01,RWP,9976,2711,3201
155,2017-03-01,RWP,5581,2,0
156,2017-03-01,RLQ,4618,915,1185
157,2017-03-01,RLQ,3060,0,0
158,2017-03-01,REM,7186,1449,2718
160,2017-03-01,RCF,5480,379,1078
161,2017-03-01,RBS,5349,216,1130
162,2017-03-01,RFF,7146,537,2143
163,2017-03-01,RXL,7064,2208,2247
165,2017-03-01,RMC,8492,1563,2242
167,2017-03-01,RAE,11362,864,3045
170,2017-03-01,RWY,12967,337,2628
171,2017-03-01,RW3,13272,2106,3890
174,2017-03-01,RLN,7844,795,2650
177,2017-03-01,RJR,6019,922,1541
179,2017-03-01,RXP,10733,752,3387
182,2017-03-01,RP5,11271,1035,3315
184,2017-03-01,RJN,3998,704,958
186,2017-03-01,RXR,8923,2562,3054
189,2017-03-01,RR7,7781,409,1670
191,2017-03-01,RCD,3975,135,988
193,2017-03-01,RWA,11425,690,3329
196,2017-03-01,RXN,5770,1793,1721
199,2017-03-01,RR8,18152,1844,5213
205,2017-03-01,RBT,5708,205,1840
207,2017-03-01,RXF,20398,1515,5047
208,2017-03-01,RNL,7821,1185,2055
209,2017-03-01,RVW,5840,254,1650
213,2017-03-01,RJL,11630,2006,2565
215,2017-03-01,RTF,8260,671,3975
217,2017-03-01,RW6,22930,4997,5328
221,2017-03-01,RQ6,7715,2040,2344
224,2017-03-01,RM3,8898,1355,2637
226,2017-03-01,RCU,5440,227,726
227,2017-03-01,RHQ,9335,2094,2861
230,2017-03-01,RTR,10362,558,1919
232,2017-03-01,RE9,5071,99,1228
234,2017-03-01,RVY,6542,1384,1905
236,2017-03-01,RBN,8808,1757,3497
238,2017-03-01,RWJ,8174,1652,2699
239,2017-03-01,RMP,7390,869,1708
240,2017-03-01,RTD,10697,1131,2116
243,2017-03-01,RFR,6515,1054,1671
245,2017-03-01,RM2,8420,685,2478
246,2017-03-01,RTX,7121,1411,2019
248,2017-03-01,RWW,6890,953,2632
251,2017-03-01,RBL,8068,1965,2546
254,2017-03-01,RRF,7741,936,1972
255,2017-03-01,RCB,9036,1664,3543
257,2017-03-01,RTK,8355,1383,1982
263,2017-03-01,RXH,12686,2158,3561
266,2017-03-01,RXQ,7101,873,2891
272,2017-03-01,RN7,8866,904,2514
274,2017-03-01,RBD,3607,69,1310
276,2017-03-01,RVV,12737,3548,3336
278,2017-03-01,RXC,9442,1822,2801
280,2017-03-01,RDU,20403,1745,6054
282,2017-03-01,RTE,11503,2555,3464
283,2017-03-01,RN3,6515,1826,2065
285,2017-03-01,RN5,9087,410,2428
288,2017-03-01,R1F,3477,788,744
292,2017-03-01,RWF,11963,1448,3677
294,2017-03-01,RPA,10452,2351,2263
295,2017-03-01,RVJ,7222,844,2324
296,2017-03-01,RBZ,3521,661,1117
300,2017-03-01,RTH,11198,1676,3100
303,2017-03-01,RK9,8345,1284,3008
305,2017-03-01,RD3,5584,361,1692
307,2017-03-01,RHU,9418,2688,2921
311,2017-03-01,RHW,9380,594,3063
313,2017-03-01,REF,6059,1664,2489
315,2017-03-01,RH8,8240,614,1849
317,2017-03-01,RA2,5854,205,2017
318,2017-03-01,RD1,6218,1379,2103
320,2017-03-01,RNZ,3807,303,1062
328,2017-03-01,RTP,8344,412,2264
330,2017-03-01,RBA,5394,311,1773
332,2017-03-01,RDZ,6326,428,1876
334,2017-03-01,RA9,5933,503,2530
336,2017-03-01,RHM,8622,1012,3456
338,2017-03-01,RA7,9307,1869,2918
340,2017-03-01,RYR,11417,515,3199
342,2017-03-01,RA3,4350,972,1007
347,2017-03-01,RA4,3963,62,1404
348,2017-02-01,RF4,17917,2694,4208
351,2017-02-01,R1H,25955,6186,5820
356,2017-02-01,RQM,14482,1942,3188
358,2017-02-01,RJ6,5761,1374,2021
362,2017-02-01,RVR,10654,534,3003
364,2017-02-01,RJ1,10683,1471,2867
368,2017-02-01,RQX,8790,507,1498
370,2017-02-01,RYJ,8452,2565,2835
373,2017-02-01,RJZ,15070,3754,4017
376,2017-02-01,RAX,7677,1121,1646
378,2017-02-01,RJ2,16054,3095,4397
380,2017-02-01,R1K,10644,4616,4050
384,2017-02-01,RAP,13091,2314,2233
388,2017-02-01,RAL,16388,2485,3255
391,2017-02-01,RJ7,11454,1178,3429
