index,period,org_code,attendances,breaches,admissions
77,2017-03-01,RLT,6726,799,1119
117,2017-03-01,RXK,14665,2828,3067
122,2017-03-01,RXW,10371,2217,2441
126,2017-03-01,RJC,5572,198,1806
131,2017-03-01,RNA,9006,679,2425
133,2017-03-01,RQW,8737,1935,1835
135,2017-03-01,RL4,11505,1651,2606
138,2017-03-01,RRK,10032,1543,2818
139,2017-03-01,RKB,11986,3213,4077
145,2017-03-01,RJE,15129,4019,4511
148,2017-03-01,RBK,6360,1986,1936
154,2017-03-01,RWP,9976,2711,3201
156,2017-03-01,RLQ,4618,915,1185
425,2017-02-01,RLT,5658,1015,948
465,2017-02-01,RXK,12951,3034,2869
470,2017-02-01,RXW,8779,2497,2195
475,2017-02-01,RJC,4651,225,1571
480,2017-02-01,RNA,7769,1064,2149
482,2017-02-01,RQW,7459,2395,1494
484,2017-02-01,RL4,9797,1689,2276
487,2017-02-01,RRK,8753,1654,2531
488,2017-02-01,RKB,10339,2822,3448
494,2017-02-01,RJE,12948,3777,4000
497,2017-02-01,RBK,5593,1636,1693
503,2017-02-01,RWP,8647,2957,2602
505,2017-02-01,RLQ,3908,965,1062
772,2017-01-01,RLT,6258,1380,1138
812,2017-01-01,RXK,13929,2932,3212
817,2017-01-01,RXW,9289,2882,2360
822,2017-01-01,RJC,4949,379,1700
826,2017-01-01,RNA,8593,1903,2460
828,2017-01-01,RQW,8076,3019,1525
830,2017-01-01,RL4,10711,2416,2700
833,2017-01-01,RRK,9640,2585,2919
834,2017-01-01,RKB,11313,3361,3874
840,2017-01-01,RJE,14046,4583,4206
843,2017-01-01,RBK,6401,2418,1965
849,2017-01-01,RWP,9170,3174,2928
852,2017-01-01,RLQ,4195,1060,1084
1117,2016-12-01,RLT,6396,1119,1100
1158,2016-12-01,RXK,13578,3319,3339
1163,2016-12-01,RXW,9667,2523,2323
1168,2016-12-01,RJC,5226,393,1655
1172,2016-12-01,RNA,8720,1495,2687
1174,2016-12-01,RQW,8432,2584,1616
1176,2016-12-01,RL4,10541,1591,2588
1179,2016-12-01,RRK,9449,2179,2882
1180,2016-12-01,RKB,11507,3100,3930
1186,2016-12-01,RJE,14278,5110,4458
1189,2016-12-01,RBK,6268,2093,1888
1195,2016-12-01,RWP,9735,3568,2968
1198,2016-12-01,RLQ,4490,1318,1123
1463,2016-11-01,RLT,6425,931,1129
1504,2016-11-01,RXK,14002,3224,3228
1509,2016-11-01,RXW,9692,2345,2188
1514,2016-11-01,RJC,5116,201,1702
1518,2016-11-01,RNA,8501,1183,2431
1520,2016-11-01,RQW,8533,2512,1747
1522,2016-11-01,RL4,10573,1460,2546
1525,2016-11-01,RRK,9422,1759,2682
1526,2016-11-01,RKB,12101,2976,3862
1532,2016-11-01,RJE,14356,4635,4332
1535,2016-11-01,RBK,6175,1843,1872
1541,2016-11-01,RWP,9563,3122,2819
1544,2016-11-01,RLQ,4398,994,1037
1808,2016-10-01,RLT,6597,927,1091
1848,2016-10-01,RXK,14272,2663,3181
1853,2016-10-01,RXW,10400,2630,2273
1858,2016-10-01,RJC,5582,253,1679
1862,2016-10-01,RNA,8907,686,2510
1864,2016-10-01,RQW,8666,1973,1646
1867,2016-10-01,RL4,11108,1468,2536
1870,2016-10-01,RRK,10075,2013,2775
1871,2016-10-01,RKB,12315,2369,4076
1877,2016-10-01,RJE,15000,4731,4226
1880,2016-10-01,RBK,6388,1921,1959
1886,2016-10-01,RWP,10269,3029,2804
1889,2016-10-01,RLQ,4504,984,1002
2151,2016-09-01,RLT,6363,584,1091
2191,2016-09-01,RXK,14180,2020,2936
2196,2016-09-01,RXW,10012,2131,2038
2202,2016-09-01,RJC,5230,279,1587
2206,2016-09-01,RNA,8612,677,2407
2208,2016-09-01,RQW,8196,2258,1352
2211,2016-09-01,RL4,10999,1123,2556
2214,2016-09-01,RRK,9578,1751,2693
2215,2016-09-01,RKB,11266,1502,3835
2221,2016-09-01,RJE,14011,3986,4183
2224,2016-09-01,RBK,6159,1312,1854
2230,2016-09-01,RWP,9872,2721,2687
2233,2016-09-01,RLQ,4570,1078,1045
2495,2016-08-01,RLT,6056,278,1087
2535,2016-08-01,RXK,13315,1853,2802
2540,2016-08-01,RXW,10201,2113,2128
2546,2016-08-01,RJC,5056,189,1596
2552,2016-08-01,RQW,8144,1970,1418
2555,2016-08-01,RL4,10700,1768,2537
2558,2016-08-01,RRK,9584,1771,2754
2559,2016-08-01,RKB,10892,1546,3802
2565,2016-08-01,RJE,14568,3214,4230
2568,2016-08-01,RBK,5747,1223,1759
2575,2016-08-01,RWP,10161,2581,2807
2578,2016-08-01,RLQ,4612,1234,969
2841,2016-07-01,RLT,6820,740,1137
2886,2016-07-01,RXW,10919,1673,2254
2892,2016-07-01,RJC,5701,300,1671
2898,2016-07-01,RQW,8919,2477,1405
2901,2016-07-01,RL4,11561,1845,2694
2904,2016-07-01,RRK,9842,1333,2744
2905,2016-07-01,RKB,11961,2778,3639
2911,2016-07-01,RJE,15596,4317,4396
2914,2016-07-01,RBK,6629,1518,1881
2921,2016-07-01,RWP,11004,2465,3000
2924,2016-07-01,RLQ,4891,888,944
3186,2016-06-01,RLT,6448,322,1136
3226,2016-06-01,RXK,14021,1588,3056
3231,2016-06-01,RXW,10197,2132,2151
3237,2016-06-01,RJC,5109,229,1620
3241,2016-06-01,RNA,8444,466,2508
3243,2016-06-01,RQW,8240,2487,2014
3246,2016-06-01,RL4,11028,1280,2648
3249,2016-06-01,RRK,9608,1397,2747
3250,2016-06-01,RKB,11639,2888,3650
3256,2016-06-01,RJE,15024,4019,4564
3259,2016-06-01,RBK,5775,1030,1777
3266,2016-06-01,RWP,10212,2447,2864
3269,2016-06-01,RLQ,4542,873,860
3532,2016-05-01,RLT,6320,470,1209
3572,2016-05-01,RXK,15009,1401,3256
3577,2016-05-01,RXW,10642,1922,2298
3583,2016-05-01,RJC,5447,263,1633
3587,2016-05-01,RNA,8800,627,2581
3589,2016-05-01,RQW,8693,2350,2062
3592,2016-05-01,RL4,11800,1922,2771
3595,2016-05-01,RRK,10199,1843,2878
3596,2016-05-01,RKB,12263,3132,3882
3602,2016-05-01,RJE,16008,4424,4751
3605,2016-05-01,RBK,6251,923,1848
3612,2016-05-01,RWP,11100,2957,3111
3615,2016-05-01,RLQ,4957,846,899
3877,2016-04-01,RLT,5691,800,1023
3917,2016-04-01,RXK,13407,1569,3175
3922,2016-04-01,RXW,9737,1852,2108
3928,2016-04-01,RJC,5065,250,1557
3933,2016-04-01,RNA,7824,529,2310
3935,2016-04-01,RQW,7781,1984,1851
3938,2016-04-01,RL4,10811,1613,2740
3941,2016-04-01,RRK,9044,1195,2744
3942,2016-04-01,RKB,11187,2972,3577
3948,2016-04-01,RJE,14718,4227,4622
3951,2016-04-01,RBK,6077,913,1757
3958,2016-04-01,RWP,9754,2339,2931
3961,2016-04-01,RLQ,4299,716,823
4220,2018-03-01,RLT,6977,1632,1141
4263,2018-03-01,RXW,8661,3389,2274
4268,2018-03-01,RJC,5592,937,1742
4273,2018-03-01,RNA,8425,2524,1944
4275,2018-03-01,RQW,8546,3030,1621
4277,2018-03-01,RL4,10985,2793,2591
4282,2018-03-01,RKB,12177,3993,4197
4287,2018-03-01,RJE,14321,4968,5091
4290,2018-03-01,RBK,6607,2471,2070
4297,2018-03-01,RWP,10145,4387,3100
4299,2018-03-01,RLQ,4740,1252,1306
4592,2018-02-01,RLT,6232,1389,1030
4630,2018-02-01,RXK,12705,3357,3027
4635,2018-02-01,RXW,7910,3051,2078
4640,2018-02-01,RJC,5121,991,1677
4645,2018-02-01,RNA,7805,2498,1962
4647,2018-02-01,RQW,7584,2801,1471
4649,2018-02-01,RL4,10018,2396,2290
4653,2018-02-01,RRK,9322,2048,3922
4654,2018-02-01,RKB,11114,3874,3892
4659,2018-02-01,RJE,12676,4669,4258
4662,2018-02-01,RBK,5986,2101,1989
4669,2018-02-01,RWP,9160,3817,2801
4671,2018-02-01,RLQ,4338,1387,1222
4964,2018-01-01,RLT,6717,1423,1082
5002,2018-01-01,RXK,14708,3244,3502
5007,2018-01-01,RXW,8580,3489,2273
5012,2018-01-01,RJC,5458,780,1743
5017,2018-01-01,RNA,8741,2591,2427
5019,2018-01-01,RQW,8422,2830,1805
5021,2018-01-01,RL4,11186,2931,2670
5025,2018-01-01,RRK,10083,2181,3947
5026,2018-01-01,RKB,11813,3465,4099
5031,2018-01-01,RJE,13346,6145,4543
5034,2018-01-01,RBK,6610,2416,2220
5041,2018-01-01,RWP,10218,4039,3122
5328,2017-12-01,RLT,6805,1155,1109
5366,2017-12-01,RXK,14643,3814,3363
5371,2017-12-01,RXW,8298,3048,2214
5376,2017-12-01,RJC,5712,891,1778
5381,2017-12-01,RNA,8410,2961,2175
5383,2017-12-01,RQW,8584,2808,1813
5385,2017-12-01,RL4,10705,2314,2598
5389,2017-12-01,RRK,9667,986,3552
5390,2017-12-01,RKB,11597,3160,4067
5395,2017-12-01,RJE,13524,5545,4465
5398,2017-12-01,RBK,6576,2290,2209
5404,2017-12-01,RWP,10225,3663,3159
5406,2017-12-01,RLQ,4696,1314,1346
5690,2017-11-01,RLT,6706,932,1184
5727,2017-11-01,RXK,14676,3161,3150
5732,2017-11-01,RXW,8535,2633,2182
5737,2017-11-01,RJC,5617,490,1767
5741,2017-11-01,RNA,8647,2249,1971
5743,2017-11-01,RQW,8765,2572,1348
5745,2017-11-01,RL4,10892,2120,2563
5749,2017-11-01,RRK,9522,1804,3073
5750,2017-11-01,RKB,11896,2837,4109
5755,2017-11-01,RJE,13843,4455,4538
5758,2017-11-01,RBK,6416,1747,2109
5764,2017-11-01,RWP,9984,2983,2977
5766,2017-11-01,RLQ,4421,847,1193
6047,2017-10-01,RLT,6867,704,1229
6084,2017-10-01,RXK,15212,2798,3163
6089,2017-10-01,RXW,10764,2878,2254
6093,2017-10-01,RJC,5987,529,1831
6097,2017-10-01,RNA,9156,1378,2283
6099,2017-10-01,RQW,8706,2762,1510
6101,2017-10-01,RL4,11436,1500,2694
6105,2017-10-01,RRK,10348,2190,2977
6106,2017-10-01,RKB,12305,2817,4361
6111,2017-10-01,RJE,14081,4498,4568
6114,2017-10-01,RBK,6639,1768,2234
6120,2017-10-01,RWP,10553,2908,3130
6122,2017-10-01,RLQ,4740,1042,1184
6398,2017-09-01,RLT,6680,593,1177
6435,2017-09-01,RXK,14266,2146,3030
6440,2017-09-01,RXW,10133,2265,2220
6444,2017-09-01,RJC,5607,408,1763
6449,2017-09-01,RNA,8563,1586,2290
6451,2017-09-01,RQW,8312,2467,1528
6453,2017-09-01,RL4,10884,1476,2579
6456,2017-09-01,RRK,9693,1683,2801
6457,2017-09-01,RKB,11362,3319,4131
6462,2017-09-01,RJE,13705,4684,4463
6465,2017-09-01,RBK,6235,1752,2089
6473,2017-09-01,RLQ,4596,998,1156
6745,2017-08-01,RLT,6487,305,1122
6783,2017-08-01,RXK,13817,2148,2998
6788,2017-08-01,RXW,10459,2495,2224
6792,2017-08-01,RJC,5259,233,1680
6797,2017-08-01,RNA,8115,1607,2221
6799,2017-08-01,RQW,8139,2039,1843
6801,2017-08-01,RL4,11009,1301,2433
6804,2017-08-01,RRK,9685,1279,2890
6805,2017-08-01,RKB,11093,2352,4080
6810,2017-08-01,RJE,13548,3932,4425
6813,2017-08-01,RBK,5937,1814,2012
6819,2017-08-01,RWP,9896,3093,2983
6821,2017-08-01,RLQ,4703,773,1107
7089,2017-07-01,RLT,7088,722,1138
7128,2017-07-01,RXK,15325,2653,3037
7133,2017-07-01,RXW,11114,2655,2328
7142,2017-07-01,RNA,9056,1563,2374
7144,2017-07-01,RQW,8792,2347,1900
7146,2017-07-01,RL4,11752,1108,2466
7149,2017-07-01,RRK,10189,1357,2938
7150,2017-07-01,RKB,12011,2885,4222
7155,2017-07-01,RJE,15922,4057,4816
7158,2017-07-01,RBK,6461,1804,2068
7164,2017-07-01,RWP,10611,2943,3096
7166,2017-07-01,RLQ,4894,1165,1110
7434,2017-06-01,RLT,6893,342,1220
7473,2017-06-01,RXK,14612,2974,2938
7478,2017-06-01,RXW,10557,2429,2268
7482,2017-06-01,RJC,5590,219,1727
7487,2017-06-01,RNA,8902,888,2426
7489,2017-06-01,RQW,8625,2159,1793
7491,2017-06-01,RL4,11531,1212,2592
