index,period,org_code,attendances,breaches
77,2017-03-01,RLT,6726,799
117,2017-03-01,RXK,14665,2828
118,2017-03-01,RXK,2087,39
119,2017-03-01,RXK,2783,0
122,2017-03-01,RXW,10371,2217
123,2017-03-01,RXW,1673,0
126,2017-03-01,RJC,5572,198
127,2017-03-01,RJC,663,0
131,2017-03-01,RNA,9006,679
132,2017-03-01,RNA,6393,0
133,2017-03-01,RQW,8737,1935
135,2017-03-01,RL4,11505,1651
136,2017-03-01,RL4,8651,104
138,2017-03-01,RRK,10032,1543
139,2017-03-01,RKB,11986,3213
140,2017-03-01,RKB,2081,47
141,2017-03-01,RKB,2187,2
145,2017-03-01,RJE,15129,4019
146,2017-03-01,RJE,429,0
147,2017-03-01,RJE,4774,91
148,2017-03-01,RBK,6360,1986
149,2017-03-01,RBK,3809,1
154,2017-03-01,RWP,9976,2711
155,2017-03-01,RWP,5581,2
156,2017-03-01,RLQ,4618,915
157,2017-03-01,RLQ,3060,0
425,2017-02-01,RLT,5658,1015
465,2017-02-01,RXK,12951,3034
466,2017-02-01,RXK,1713,12
467,2017-02-01,RXK,2520,0
470,2017-02-01,RXW,8779,2497
471,2017-02-01,RXW,1525,0
475,2017-02-01,RJC,4651,225
476,2017-02-01,RJC,545,0
480,2017-02-01,RNA,7769,1064
481,2017-02-01,RNA,6072,0
482,2017-02-01,RQW,7459,2395
484,2017-02-01,RL4,9797,1689
485,2017-02-01,RL4,8131,156
487,2017-02-01,RRK,8753,1654
488,2017-02-01,RKB,10339,2822
489,2017-02-01,RKB,1843,29
490,2017-02-01,RKB,1835,4
494,2017-02-01,RJE,12948,3777
495,2017-02-01,RJE,377,0
496,2017-02-01,RJE,4003,38
497,2017-02-01,RBK,5593,1636
498,2017-02-01,RBK,3227,25
503,2017-02-01,RWP,8647,2957
504,2017-02-01,RWP,4741,1
505,2017-02-01,RLQ,3908,965
506,2017-02-01,RLQ,2698,0
772,2017-01-01,RLT,6258,1380
812,2017-01-01,RXK,13929,2932
813,2017-01-01,RXK,1990,14
814,2017-01-01,RXK,2720,0
817,2017-01-01,RXW,9289,2882
818,2017-01-01,RXW,1727,0
822,2017-01-01,RJC,4949,379
823,2017-01-01,RJC,570,0
826,2017-01-01,RNA,8593,1903
827,2017-01-01,RNA,6882,0
828,2017-01-01,RQW,8076,3019
830,2017-01-01,RL4,10711,2416
831,2017-01-01,RL4,7657,67
833,2017-01-01,RRK,9640,2585
834,2017-01-01,RKB,11313,3361
835,2017-01-01,RKB,1861,45
836,2017-01-01,RKB,1927,7
840,2017-01-01,RJE,14046,4583
841,2017-01-01,RJE,404,0
842,2017-01-01,RJE,4376,65
843,2017-01-01,RBK,6401,2418
844,2017-01-01,RBK,3587,14
849,2017-01-01,RWP,9170,3174
850,2017-01-01,RWP,4785,0
852,2017-01-01,RLQ,4195,1060
853,2017-01-01,RLQ,3060,0
1117,2016-12-01,RLT,6396,1119
1158,2016-12-01,RXK,13578,3319
1159,2016-12-01,RXK,1945,5
1160,2016-12-01,RXK,2886,0
1163,2016-12-01,RXW,9667,2523
1164,2016-12-01,RXW,1812,0
1168,2016-12-01,RJC,5226,393
1169,2016-12-01,RJC,535,0
1172,2016-12-01,RNA,8720,1495
1173,2016-12-01,RNA,7491,0
1174,2016-12-01,RQW,8432,2584
1176,2016-12-01,RL4,10541,1591
1177,2016-12-01,RL4,9089,83
1179,2016-12-01,RRK,9449,2179
1180,2016-12-01,RKB,11507,3100
1181,2016-12-01,RKB,1655,21
